Round	PQL_1_mean	PQL_2_mean	PTFT-E_1_mean	Pavg1-2	QL_1_mean	QL_2_mean	TFT-E_1_mean	
348	0.695	0.76	0.645	0.7275	0.33	0.36	0.42	0.345
349	0.77	0.695	0.7	0.7325	0.3	0.32	0.45	0.31
350	0.74	0.695	0.725	0.7175	0.34	0.42	0.43	0.38
351	0.785	0.745	0.66	0.765	0.4	0.32	0.36	0.36
352	0.765	0.755	0.71	0.76	0.28	0.36	0.32	0.32
353	0.675	0.71	0.645	0.6925	0.39	0.38	0.41	0.385
354	0.75	0.69	0.66	0.72	0.34	0.32	0.47	0.33
355	0.725	0.665	0.725	0.695	0.31	0.28	0.46	0.295
356	0.725	0.78	0.665	0.7525	0.39	0.33	0.41	0.36
357	0.72	0.74	0.685	0.73	0.36	0.41	0.43	0.385
358	0.785	0.745	0.675	0.765	0.31	0.45	0.44	0.38
359	0.725	0.73	0.72	0.7275	0.4	0.37	0.46	0.385
360	0.745	0.745	0.625	0.745	0.34	0.4	0.36	0.37
361	0.675	0.685	0.69	0.68	0.36	0.35	0.37	0.355
362	0.695	0.765	0.615	0.73	0.29	0.45	0.41	0.37
363	0.72	0.765	0.66	0.7425	0.43	0.42	0.34	0.425
364	0.76	0.71	0.71	0.735	0.38	0.41	0.39	0.395
365	0.685	0.73	0.69	0.7075	0.4	0.33	0.44	0.365
366	0.73	0.695	0.675	0.7125	0.38	0.42	0.38	0.4
367	0.745	0.79	0.7	0.7675	0.26	0.34	0.43	0.3
368	0.67	0.745	0.775	0.7075	0.38	0.47	0.34	0.425
369	0.75	0.71	0.635	0.73	0.37	0.36	0.42	0.365
370	0.725	0.74	0.7	0.7325	0.39	0.36	0.39	0.375
371	0.69	0.705	0.725	0.6975	0.28	0.37	0.4	0.325
372	0.685	0.745	0.715	0.715	0.33	0.33	0.31	0.33
373	0.73	0.73	0.7	0.73	0.34	0.29	0.39	0.315
374	0.715	0.715	0.68	0.715	0.38	0.33	0.39	0.355
375	0.78	0.73	0.695	0.755	0.34	0.32	0.35	0.33
376	0.735	0.75	0.765	0.7425	0.33	0.31	0.32	0.32
377	0.77	0.715	0.695	0.7425	0.3	0.39	0.4	0.345
378	0.67	0.665	0.705	0.6675	0.4	0.34	0.44	0.37
379	0.715	0.72	0.58	0.7175	0.35	0.35	0.4	0.35
380	0.705	0.77	0.645	0.7375	0.34	0.39	0.42	0.365
381	0.755	0.67	0.705	0.7125	0.46	0.36	0.46	0.41
382	0.73	0.7	0.675	0.715	0.36	0.35	0.5	0.355
383	0.69	0.765	0.69	0.7275	0.35	0.33	0.39	0.34
384	0.71	0.73	0.675	0.72	0.35	0.36	0.4	0.355
385	0.745	0.735	0.67	0.74	0.3	0.39	0.42	0.345
386	0.755	0.72	0.745	0.7375	0.37	0.31	0.36	0.34
387	0.74	0.755	0.7	0.7475	0.32	0.27	0.39	0.295
388	0.72	0.755	0.725	0.7375	0.32	0.36	0.31	0.34
389	0.755	0.71	0.685	0.7325	0.3	0.4	0.41	0.35
390	0.7	0.76	0.69	0.73	0.33	0.27	0.4	0.3
391	0.675	0.74	0.705	0.7075	0.3	0.26	0.34	0.28
392	0.72	0.74	0.685	0.73	0.38	0.36	0.33	0.37
393	0.705	0.73	0.705	0.7175	0.34	0.41	0.39	0.375
394	0.72	0.73	0.68	0.725	0.34	0.37	0.37	0.355
395	0.75	0.73	0.675	0.74	0.39	0.28	0.43	0.335
396	0.785	0.755	0.655	0.77	0.45	0.32	0.29	0.385
397	0.715	0.655	0.715	0.685	0.28	0.32	0.39	0.3
398	0.715	0.745	0.62	0.73	0.25	0.34	0.41	0.295
399	0.695	0.685	0.695	0.69	0.33	0.35	0.33	0.34
